counter,senderresponse1a,senderresponse1b,senderresponse2a,senderresponse2b,senderresponse3a,senderresponse3b,senderresponse4a,senderresponse4b,senderresponse5a,senderresponse5b,senderresponse6a,senderresponse6b,senderresponse7a,senderresponse7b,senderresponse8a,senderresponse8b,senderresponse9a,senderresponse9b,senderresponse10a,senderresponse10b,senderresponse11a,senderresponse11b
58,1,100,2,100,1000,1000,1000,1000,2,50,2,1000,1000,1000,1,100,2,50,1,1000,1000,1000
59,1,100,2,1000,2,95,2,1000,1,1000,1000,1000,1,1000,1,100,1,1000,1,1000,2,78
60,2,1000,1,1000,2,1000,1,1000,2,50,1,100,1,100,2,1000,1,1000,1,76,1,81
61,2,100,2,1000,2,1000,1000,1000,2,100,2,50,1,1000,1,1000,2,73,1,80,2,1000
62,2,70,1,1000,1000,1000,2,1000,1,85,2,1000,1,1000,1,75,2,56,1,1000,2,1000
63,2,1000,1,58,2,100,2,50,2,1000,2,100,1,75,1,80,1000,1000,1000,1000,1000,1000
64,2,50,2,1000,2,100,2,1000,2,1000,1,72,2,81,1,1000,2,1000,1000,1000,1,100
65,1,75,1,100,2,55,2,1000,2,75,2,86,1000,1000,1000,1000,1,1000,1,100,1000,1000
66,2,50,2,1000,2,75,2,74,2,60,1000,1000,1,1000,2,1000,2,1000,1,1000,1000,1000
67,2,1000,1,1000,2,76,2,85,2,1000,1,1000,1,1000,2,100,1000,1000,2,1000,2,68
68,2,1000,2,73,2,75,1000,1000,1,85,2,1000,2,97,1000,1000,2,100,2,61,2,1000
69,1,70,1000,1000,1000,1000,2,1000,2,1000,1000,1000,1,1000,2,80,2,1000,2,92,1000,1000
70,1000,1000,1,1000,2,64,1,1000,1000,1000,2,88,2,63,1,1000,1,100,2,1000,1000,1000
71,1,100,2,80,2,1000,2,100,1000,1000,1000,1000,1,79,2,1000,2,85,2,100,1,1000
72,1,90,2,100,2,100,2,64,1,1000,2,1000,1,77,1,93,1000,1000,2,68,1,92
73,1,100,1,81,2,1000,1,61,2,86,1000,1000,1,72,1,50,1,78,1,81,1000,1000
74,2,60,2,1000,2,71,1,82,1000,1000,2,75,1,50,1,73,1000,1000,1000,1000,2,1000
75,1,1000,2,69,2,93,1000,1000,2,69,2,50,1,72,1,85,2,91,2,1000,2,100
76,2,50,1000,1000,1000,1000,2,50,1,82,2,76,1,94,1,1000,2,100,1,100,2,96
77,1,65,1,82,1,50,1,74,2,89,2,1000,1,80,2,1000,1000,1000,2,100,1,1000
78,2,72,1,50,2,78,1,1000,1000,1000,2,1000,1,100,1,99,1,96,2,1000,1000,1000
79,2,1000,1000,1000,2,89,1,97,1,1000,2,73,2,76,1,1000,2,60,2,100,1,1000
80,1,88,1,1000,2,73,1,80,1000,1000,1000,1000,2,1000,1,90,2,85,1000,1000,2,100
81,2,1000,1,1000,2,1000,1000,1000,1,100,1000,1000,2,79,1,1000,1000,1000,1,50,2,75
82,2,100,1000,1000,1,55,1,91,1000,1000,1,100,2,77,1,1000,1,98,1,51,1,74
83,2,90,2,76,1,50,1,1000,1,100,2,76,1,75,1,95,1,50,1,74,2,87
84,2,91,2,50,2,95,2,100,1,79,2,1000,1,83,1,50,1,73,1000,1000,2,90
85,2,84,2,50,2,73,2,67,1,94,1000,1000,1000,1000,1,79,1,100,1,88,1,1000
86,2,81,1000,1000,2,73,1,100,2,77,2,1000,1,76,1000,1000,1,85,2,59,1,65
87,2,77,1,1000,2,65,1,100,1,1000,2,1000,2,1000,1000,1000,1,100,1,100,1000,1000
88,2,50,1,50,2,1000,2,78,2,1000,2,80,1,1000,2,83,1,1000,1000,1000,2,100
89,2,87,1,65,1000,1000,2,72,1000,1000,1000,1000,1,1000,1000,1000,1,65,1,1000,1,1000
90,1,100,1,67,1000,1000,2,1000,1,100,2,72,1,100,1000,1000,2,75,1,70,2,97
91,2,100,1000,1000,2,96,2,76,2,67,2,100,1000,1000,1,1000,2,1000,1,53,2,1000
92,1000,1000,2,1000,1,84,2,94,2,50,1000,1000,1,87,1,100,1,92,1000,1000,1,100
93,1000,1000,1,81,1,100,1,83,1000,1000,1,50,1,1000,2,90,1,73,1000,1000,1000,1000
94,1,100,1,100,1,71,1000,1000,1,50,1,88,2,94,1,70,1000,1000,2,68,2,89
95,1,100,1,1000,1,83,2,80,1,1000,2,91,2,88,2,78,1000,1000,2,100,1000,1000
96,1,50,2,69,1,92,1000,1000,2,99,1,74,1,75,1,62,1,1000,1000,1000,2,100
